Texto,Tipo
a melhor festa do brasil melhores pessoas comidas atracoes,1
nao vi nada que desabone a oktoberfest tudo de bom e do melhor,1
vou todo ano,1
sem duvida as pessoas precisam conhecer,1
e um excelente lugar para quem gosta de festas animadas e agitadas muito chopp muita diversao e bem estruturada,1
festa tipica alema de muito bom gosto local bem decorado comidas tipicas muito boas cervejas excelentes apresentacoes de dancas e bandas muito ,1
so na madrugada que o negocio fica mais dificil pois fica muito cheio e todo o conforto anterior diminui muito madrugada e mais pra quem esta afim de baguncar mesmo,0
festa cara super lotada sem local para sentar e comer pavilhoes nao possuem ar fresco antigamente era muito melhor e organizada,0
fui pela vez em me arrependo por nao ter ido antes,1
adorei a festa o clima e a organizacao,1
fui no ultimo final de semana sexta e sabado a noite na sexta consegui aproveitar muito mais,1
no sabado acredito que a tarde seja melhor porque a noite nao da nem pra andar direito muito lotado,0
mas achei de certa forma um evento organizado,1
ja quero ir esse ano novamente,1
segue a frida,1
tem programacoes para o dia e para a noite mesmo para que nao gosta da cerveja tradicional eu se deu bem pois havia um chopp de vinho maravilhoso sendo vendido,1
foi incrivel participar desta festa,1
fiquei surpresa com a organizacao limpeza sim,1
incluindo limpeza dos banheiros seguranca mesmo com pessoas bebendo durante todo o tempo e ate durante o dia todo nao presenciei nenhuma briga e precos do evento,1
vale muito muito a pena,1
otima estrutura oferecida ao turista,1
diversao garantida,1
muita musica tipica alema que anima a festa a noite toda,1
sem falar do desfile que acontece na rua xv de novembro e lindo demais,1
festa tipica se caso for vestido a carater o ingresso e mais barato e bom comprar antecipado pois na hora o valor dobra e e possivel que nao tenha mais para vender,1
de sabado e o dia que tem mais gente para o empurra empurra nos trajetos de banheiro e muita fila,0
varios tipos de chopps muito gostosos na base de r colocado no copo de ou na caneca,1
fiquei surpreso de ver como a cidade respira a festa vive a festa,1
a cultura trazida de outro pais e sim levada a em um dia que estava cheio e mesmo assim o evento apresentou organizacao,1
a dica e ir com dinheiro pra experimentar as delicias e o sabor apresentado pelas cervejarias,1
frequento a varios anos seguidos otima organizacao muito animada deliciosa variedade de comidas cervejas e musicas,1
vou todo ano a esta festa com minha familia,1
otimo proframa familiar pro domingo ao meio dia,1
brinquedos pras criancas,1
comida e bebidas diferenciadas,1
vou a anos seguidos e o unico problema sao as filas para banheiro ,0
mas isso pode ser relevado pelo clima da festa,1
famous beer fest outside germany,1
family friends or couples famosa festa da cerveja fora da alemanha,1
para familia amigos e casais,1
festa bem estruturada e com muita descontracao,1
comida boa e muita cerveja inclusive rotulos artesanais muito interessantes dao um toque especial ao evento,1
recomendado,1
nao bebo mas fui a oktoberfest hehe,1
numa viagem em familia com tios que bebem a experiencia da festa nao foi de todo ruim,1
como sempre fui curioso por outras culturas a oktoberfest traz justamente isso nao e um evento tal qual um rock in rio uma festa nordestina ou um festival de sertanejo que abrange multiplas culturas e a oktoberfest e sim e faz jus uma festa tipicamente alema,1
e o publico que frequenta a festa mesmo turista traz algo consigo de alemao,1
foi uma das primeiras vezes que notei algo tao particular mas aberto ao publico em geral,1
notei olhares diferenciados mesmo estando a carater,1
sob minha perspectiva notei que apesar de a festa ser aberta ao publico eles precisam reafirmar a essencia da festa que e o povo alemao ou os descendentes deles,0
o desfile na vila germanica e super divertido e e convidativo,1
nos pavilhoes para gastar caso goste de beber,1
a festa e organizada em diferentes pavilhoes onde tocam bandas tipicas cada pavilhao com estilo,1
isso e otimo porque divide o publico,1
nas areas centrais ficam as areas de alimentacao e os varios souvenirs,1
a festa e super limpa frequentada por pessoas muito bonitas e sabendo se divertir e festa na certa,1
a oktoberfest hoje e para turista que tem para gastar,0
a entrada da festa e free ate as porem depois disso varia pelo dia da festa,1
recomendo comprar ingresso com antecedencia porque e normal no sabado faltar ingresso,0
ha bastante banheiro e eles sao mantidos limpos,1
grande variedade de comida tento alema quanto do dia a dia,1
ha atracoes com um repertorio bem ecletico e nao so de bandinha alema,1
porem e requisito da festa ter musica em alemao ou parafraseando,1
recomendo ir no dia do show da porque eles tem bastante parodias e animam a noite,1
chopp e comida sao bem caros,0
nao deixe que sua vida passe sem conhecer a oktoberfest blumenau,1
musica boa gente bonita comidas tipicas e muito chopp,1
muita diversao uma vibe show todos com um unico objetivo se divertir,1
se vc esta muito longe de blumenau vai precisar de um hotel mas nao precisa ser exatamente em blumenau,1
se esta mais proximo as excucoes sao otimas opcoes vale a pena porque vc vai com mais tranquilidade e a festa ja comeca no embarque,1
oktoberfest de blumenau e uma viagem obrigatoria para todos que curtem cerveja e boa cidade inteira de blumenau fica em funcao da oktoberfest no mes de outubro,1
a cidade e linda,1
vale visitar tudo,1
mas aviso de antemao,0
nao se programe para passar apenas um final de semana,1
voce vai se arrepender,0
no minimo uma semana,1
sem contar que todas as cidades em volta de blumenal tem festivais acontecendo simultaneamente a oktoberfest destaco aqui a cidade de brusque que promove a fenarreco,1
duvido voce ja ter experimentado um marreco recheado tao delicioso quanto o que e servido la,1
mas e quanto ao preco voce deve estar se perguntando,1
tudo la sao a precos modicos,1
uma vez que eles investem no volume de visitantes que realmente sao muitos todos os anos os precos conseguem ser justos para quase tudo,1
proxima meta oktoberfest de munique,1
excelente festa boa musica e para todos os gostos e chope de qualidade alem de muita gente animada,1
do tipo de festival que quando voce vai pela primeira vez nunca mais quer perder recomendo no minimo dias de festa rsrs,1
a oktoberfest e muito ecletica tem para todos os gostos musicais e gastronomicos,1
as novas bandas que estao sendo trazidas da alemanha trazem modernidade e alegria para jovens e adultos,1
a banda voxxclub e o top of the top ninguem consegue ficar parado ela contagia as pessoas pela sua simpatia leveza e sobretudo pelas suas musicas que sao simplesmente a expressao mor do espirito da oktoberfest,1
as bandas locais trazem o embalo tradicional sendo que algumas destas ja deram vazao a sua criatividade com ritmos mais acelerados e alegres,1
todos visitantes saem daqui maravilhados visto que voce pode estar so acompanhado ou em familia que a diversao esta garantida e tudo isso com na certeza de estar em seguranca,1
a oktoberfest esta localizada em um complexo que possui parque de diversoes diversos restaurantes cervejarias lojas e palcos de eventos realmente me surpreendi com o tamanho do evento,1
existem varias cervejarias sendo todas com otimos chopps todas servem em copos de plastico mas vc pode levar sua caneca o que e comum e pode ser compradas dentro e fora do evento,1
os precos dos chopps variam de a reais mas sao todos puro malte,1
vale a pena experimentar as comidas tipicas da regiao que sao oferecidas por varias lanchonetes e restaurantes,1
fomos em uma sabado e domingo e indico que para casais ou familias e melhor irem de dia e permanecerem no maximo ate as pois depois disso comecam a entrar varios adolescente e a turma da balada e ai vira tumulto,0
indico tambem que comprem os ingressos antecipadamente pela internet pois facilita bem a entrada no local,0
e uma festa gigantesca e os cervejeiros de plantao nao podem deixar de conhecer,1
fui no ultimo dia de festa e foi maravilhoso,1
estava muito movimentada mas consegui aproveitar cada minuto,1
a comida e deliciosa a festa e divertida e enorme tem varios pavilhoes com shows simultaneos e opcoes de bebida e comida,1
na area externa tem mais opcoes ainda alem do comercio que ja existe no local,1
me diverti muito,1
a festa e segura e super tranquila,1
recomendo,1
pense na animacao que e estar ali naquela festa,1
um ambiente muito familiar com musicas divertidas gente bonita e animada,1
so achei os precos um pouco caro,0
mas valeu a pena,1
estavamoa no beto carrero e decidimos ir ate blumenau conhecer a festa e dormir ali antes de seguir viagem,1
adoramos a experiencia mesmo com uma crianca de anos adoramos tudo,1
lugar grande e bem estruturado excelente passeio otimas opcoes de comidas tipicas lojinhas para compras de lembrancas e produtos tipicos nos pavilhoes bandas super animadas nos surpreendeu a quantidade de criancas,1
festa bem familiar,1
ficamos claro ate um horario que condizia com a idade de nosso filho,1
com ctza a festa fica mais balada mas tarde,1
valeu a experiencia festa bem legal,1
tudo muito limpinho,1
organizado e pessoas lojas de souvenire algumas atividades com dancas tipicas da regiao,1
achei bem de ir e bom procurar as ,1
que chamou a atencao e que quase tudo fecha as da noite ate os barzinhos,0
mas vale a pena conhecer,1
festa para todo tipo de pulblico mas principalmente apaixonados por chopp e comida alema vou todo ano,1
pra quem aprecia um bom chopp shows musicais e comer bem e perfeito,1
bem organizado seguro vale muito a visita com certeza retornarei,1
ao ver tanta disposicao e alegria uma experiencia totalmente diferente,1
pavilhoes cheios gente bonita e leve com grupos locais nota,1
haja folego,1
certamente uma das melhores festas tipicas do brasil,1
animacao respeito organizacao,1
muitas opcoes de comidas e principalmente de cervejas locais,1
os precos sao justos acima de tudo,1
para quem foi vezes na festa falar mal e um absurdo,1
para quem gosta de beber e balancar a caneca a noite inteira,1
in prosit,1
voltarei mais vezes antes de partir dessa terra assim espero,1
zigue zague,1
a festa e linda,1
a energia e unica,1
ja sao anos frequentando e me encanto a cada ano,1
festa linda e cheia de animacao,1
adorei,1
festa super bonita e organizada,1
com presenca de varias geracoes se divertindo chopp para todos os gostos comidinhas tipicas pizzas lojinhas para compras de lembrancas camisas canecas no galpao varios palcos com musica ao vivo em todos,1
nao da para falar tudo que e de bom esta festa,1
so indo mesmo para ver o quanto e bonita alegre festiva,1
um espetaculo de pouco mais de dias que valem a pena ser vividos,1
tudo de bom,1
a oktoberfest e sem duvidas a melhor festa alema do brasil melhor chopp melhor comida tipica danca e animacao,1
fomos na segunda e da segunda semana da festa de,1
estavamos com um pouco de receio de ir no inicio da semana mas valeu muito a pena,1
nestes dias nao ha tanta gente assim mas nao e nada vazio,1
estava muito mais cheio do que bandas sao otimas a comida e muito boa chopps para todos os gostos em torno de r e a estrutura e fantastica,1
infelizmente o nosso roteiro nao nos permitiu ficar o fim de semana mas recomendo e muito a festa no meio da semana,1
voltaremos,1
a cada vez que venho nesta festa tenho a sensacao de ser a primeira vez,1
sempre tem algo novo que me encanta,1
a festa e regada a pessoas alegres cores danca musica desfiles comidas tipicas e claro muita cerveja,1
vale a pena assistir ao desfile de carros que acontece na avenida central do centro historico,1
nos galpoes onde acontece a festa musica e alegria nao faltam,1
cerveja tambem nao,1
varias marcas e fabricantes estao espalhados por la,1
a comida deixa a desejar mas e aceitavel,0
nem mesmo no estande do senac que acreditamos ser sinonimo de qualidade se salvou,0
se quer mesmo uma comida tipica alema procure outros lugares fora da festa para comer,1
a noite o publico maior e de jovens,1
durante o dia o publico e misto com predominancia de familias e casais,1
os ingressos tem precos acessiveis,1
vale a pena alugar ou comprar uma roupa tipica e curtir a festa a carater,1
como primeira vez na tradicional festa de cultura alema em blumenau achei muito bacana,1
diferentes de outros eventos grandes conta com uma organizacao no metodo de consumo de servico como por exemplo os cartoes pre pagos onde se recarrega um cartao e o mesmo se utiliza para fazer qualquer compra la dentro do evento como chopp comidas e produtos e uma excelente forma para organizar quanto gastar tanto para caso haja perda de cartao antes perder um cartao pre pago do que um do seu banco adorei este metodos ,1
deixa a desejar que tenha que pegar filas para recarregar e ver saldos fica a minha dica lancarem um aplicativo para recarregar e visualizar saldos e afins,0
a festa e linda incrivel animada organizada e para todas as idades,1
a decoracao alemao os setores cada um com varias atracoes,1
e para minha agradavel supresa tinha opcao de lanche vegano numa barraca chamada gluten free,1
sem contar a infinidade de cervejas artesanais,1
fui com minha amiga e nos divertimos muito,1
a entrada nao e cara e la dentro voce adquire um cartao onde ira colocar a quantidade de dinheiro que pretende gastar,1
tudo e bem organizado,1
tem cervejaria pra tudo qto e lado lojas de souvenires e muitas comidas tipicas,1
as bandas do animadas e tocam musicas tipicas alemas e algumas musicas brasileiras tb,1
apesar de ser uma festa onde muita gente sai bebada nao vimos nenhuma briga nenhum incidente,1
sempre ouvi falar na oktomberfest mas me surpreendi com a grandeza uma festa muito bem organizada limpa confortavel e bem policiada,1
a maior festa de cerveja do mundo e digna do titulo gostei indico e voltarei outras vezes,1
amei a festa amei a energia do lugar uma festa familiar e jovem ao mesmo tempo todo mundo entra no clima danca musicas tradicionais e se diverte muito e impressionante como a festa se mantem limpa o tempo todo inclusive os banheiros,1
valeu muito a pena,1
primeira vez que fui na oktober fest em e amei,1
festa muito bem organizada muito limpa e animada varios pontos para recarga do cartao o que facilitou muito o consumo,1
eu e meu namorado almocamos no restaurante bier haus e amamos,1
comida alema de altissima qualidade e com preco justo r por pessoa,1
comi a melhor torta alema da vida,1
recomendo para todos que forem a oktober fest,1
o restaurante fica no segundo andar do setor se nao me engano,1
a infra extrutura e muito boa e bem tradicional bem limpo ,1
a comida e boa meio cara mas vale a pena experimentar,0
otima festa,1
limpa organizada lotada com direito a tudo o que uma festa tem que ter,1
amamos e voltaremos com certeza,1
quem usa o traje tipico paga meia,1
festa bacana bonita com boas cervejas e comidas otimas,1
festa limpa e seguranca porem e bem cheia,1
descobri que oktoberfest sao dois passeios em um so caso voce chegue cedo e fique ate umas o espaco e mais vazio e coordenado voce consegue curtir mais as cervejas e comidas sem pegar muita fila e os banheiros ainda estao ,1
depois das o lugar se transforma o publico muda vira um carnaval pessoal muito jovem em busca de pegacao mistura alcool e adolescencia e ganhe confusao e baderna banheiros lotados e imundos,0
alem das enormes filas para pegar cerveja e comer,0
ou seja voce escolhe que tipo de passeio voce quer no mesmo lugar,1
local super bem organizado com direito a todas as delicias germanicas,1
cervejas salsichas chopp spatzel salsichoes batata e doces alemaes pra todos os gostos e bolsos,1
saloes ambientados e confortaveis para as familias durante o dia e o shows e animacao da noite,1
a estrutura vem a cada ano melhorando e surpreendendo festa muito linda e segura vale muito a pena,1
foi rapido mas foi o suficiente pra me sentir na alemanha,1
uma festa super democratica pra toda a familia,1
fui no ultimo dia de festa que e gratuito,1
festa bem interessante e divertida,1
gostamos da diversidade de chopp que agradou a todos os paladares,1
as bandas nos tres pavilhoes animou a turma e as comidas tipicas estavam deliciosas,1
a festa e cheia de gente bonita e alegre e o clima era de paz e harmonia,1
recomendo a oktoberfest como forma de conhecer a diversidade cultural do nosso povo e especialmente para os amantes da cerveja,1
sem duvidas o melhor festival,1
super organizado com muitas opcoes de cerveja barato e divertido demais,1
valeu cada minuto la dentro,1
festa tipica com diversao garantida para todas idades,1
muitas opcoes de comida e de cervejas artesanais regionais,1
os precos nao sao abusivos e a organizacao e impecavel,1
muito divertido tudo limpo e organizado como eu nunca vi,1
precos justos dentro e fora dos pavilhoes muitas opcoes de comida e bebida shows rolando o tempo todo,1
muito seguro para ir com familia e amigos recomendado,1
fui a festa no dia,1
a limpeza e feita constantemente e estava muito bem organizada,1
haviam muitos segurancas e policiais,1
pessoas animadas chope e comida boa,1
o local e muito grande,1
os setores abrem as ja com muita coisa aberta na vila,1
logo que vc entra os monitores colocam identificacao nas criancas e nos pais das criancas,1
o som comeca ao meio dia,1
muita opcao de cerveja e comida,1
recomendo ficar com criancas pequenas no local ate as,1
como da primeira vez ficamos encantados porque ir em blumenau ja e muito bom e cidade linda,1
nessa epoca entao onde tudo e festa e povo acolhedor que recebe muito bem,1
festa seja na rua no desfile ou na vila germanica e muito legal e tudo muito limpo organizado e familiar,1
as comidas maravilhosas os chopps para todos os gostos enfim recomendo muito ir na okto,1
desfile na cidade e muito bom nao deixem de ir,1
e a festa mesmo tambem vale muito a pena lota muito entao tomar um certo cuidado e sempre bom,1
a experiencia foi melhor do que imaginei,1
a decoracao e bonita lugar bem grande apesar de ficar lotado as filas para pegar bebidas ate que sao rapidas o banheiro e limpo pq tem uma pessoa limpando o tempo todo,0
varios palcos com varias bandas diferentes,1
no geral o atendimento e educado,1
as pessoas que frequentam tbem no geral sao educadas,1
o espaco inteiro e pavimentado entao nao tem chao de terra como em alguns eventos grandes que acontecem pelo pais,1
o desfile e encantador as criancas adoram,1
mas chegue cedo pelo menos meia hora antes do inicio,0
ja a vila germanica tem uma energia muito legal ,1
mas acho que tem que ir so em dia de semana pois final de semana e muito cheio chegando a ficar insuportavel por volta das,0
otima infraestrutura super bem decorado otimas bandas,1
o servico de limpeza esta de parabens,1
ambiente limpo haviam colaboradores retirando o lixo constantemente banheiros limpos para uma festa de grande porte onde por exemplo no dia que visitei passaram mais mil pessoas estava impecavel,1
otima comida com preco justo otimos chopps artesanais em especial o da cervejaria antidoto que tinha um choop de frutas vermelhas maravilhoso ,1
mas como nem tudo sao flores estava um calor insuportavel nos pavilhoes os ambientes viraram uma sauna,0
para quem nao quer enfrentar filas gigantescas no banheiro e nao tropecar com pessoas bebadas o ideal e ir embora antes das,0
festa organizada segura e com muitas atracoes simultaneas,1
a gastronomia e um ponto fortissimo o servico de limpeza esta de parabens e os deliciosos,1
voltarei com certeza,1
tudo e perfeitamente organizado e funciona,1
bem da verdade que fomos em uma as dia e horario em que o movimento e relativamente tranquilo,1
tem opcoes de comida para todos os gostos e para as bebidas se destacam ,0
os variados tipos de problema fica por conta da dificuldade em chegar no local chegamos por gaspar e a fila ja era longa e irritante dentro de gaspar ao chega na ponte em frente a sulfabril o transito simplesmente parou e tivemos que desligar o carro e ficamos presos no meio da rua e nao havia nenhum guarda de transito no local,1
fazem muita propaganda da oktoberfest mostrando so o lado bom mas a organizacao so olha para dentro dos pavilhoes do lado de fora ninguem quer saber mesmo assim vale a pena afinal estamos no brasil e nao na alemanha,0
esse era um evento que sempre quiz conhecer,1
para quem tem criancas recomendo ir durante o dia entre as e pois apos esse horario nao fica muito familiar,0
muito jovens que passam um ponto do ponto,0
mas natural por se tratar de uma mais,1
muito boa comida cervejarias regionais com os melhores estilos de chopp e bandas bem animadas,1
tudo muito organizado,1
fomos a oktoberfest pelo sexto ano pois adoramos o clima da festa,1
sempre vamos na hora do almoco e aproveitamos o dia mesmo com criancas,1
as comidas sao boas e variadas,1
as banda e grupos tipicos animam os pavilhoes,1
varias cervejarias apresentam suas otimas cervejas mais,1
fomos na primeira semana do evento e tivemos uma otima supresa,1
todo o espaco e muito bonito bem decorado com a vila germanica que traz todo o charme especial alemao,1
a festa e uma delicia varios tipos de chopp puro malte e comidinhas alemas que mais,1
gostei da oktoberfest,1
apesar de nao beber o que e o ponto forte da festa curti bastante,1
sao tres areas diferentes todas com shows ao vivo muita danca,1
achei a fila da entrada desorganizada e demorada mas nada que estragasse a noite,0
vale a mais,1
otima infraestrutura comida boa e muita cerveja,1
festa animada musica tipica lojas para compras de variados itens,1
limpeza e organizacao excelentes,1
uma festa para familia para solteiros casais enfim uma festa para todos,1
indico e voltarei,1
primeira vez na okto nao tenho do que reclamar muita cerveja boa comida e lojas para compras,1
organizacao e limpeza impecavel banheiros aos montes,1
varias atracoes simultaneas em palcos com muita diversao,1
se prepare para andar bastante,0
a organizacao da oktoberfest melhora a cada ano,1
neste ano os pavilhoes estao muito bem decorados mais funcionais e com mais banheiros,1
as comidas voltadas para a culinaria tipica alema,1
a venda de ingresso antecipada facilita muito nos dias mais movimentados e a implantacao do mais,1
primeira vez na festa da oktoberfest o lugar e so alegria muita musica principalmente musica alema comidas tipicas a festa e tudo de bom com certeza voltaremos,1
festa muito organizada e para todas as idades casais familia e solteiros,1
gastronomia alema e chopp gelado com musica tipica que nao tem como nao te levar a cair na danca,1
apos as horas eu diria que a festa e para os solteiros de mais,0
a festa bem planejada uma boa cardapio bem tipico alemao porem um pouco salgado os precos,1
tanto na alimentacao como nos ingressos de final de semana,1
fomos em um grupo de amigos para oktoberfest fomos durante a tarde,1
adoramos a festa tudo muito organizado mta alegria,1
com toda certeza iremos voltar,1
superou expectativas em todos os sentidos,1
minha primeira vez na festa,1
organizado limpo seguro comidas maravilhosas e cervejas deliciosas,1
preco bom e ambiente bom,1
sugiro ir de dia com criancas pois a noite lota bastante,0
a festa e muito alegre com um desfile pelas ruas na e no sabado enquanto dura a participacao da comunidade adultos e criancas e ate bebes tras muita alegria eles distribuem chopp balas e flores para o publico que assiste muito o pessoal segue para,1
a vila germanica onde a festa continua comshows de bandinhas comida tipica alema muito chopp e alegria,1
muito legal o evento,1
espaco muito bacana,1
decoracao linda,1
cerveja gelada muita gente bonita,1
musica boa,1
valeu a pena conhecer,1
adorei,1
foi surpreendente pois achava que a festa tinha como publico alvo os jovens e solteiros,1
mas fiquei feliz por ser uma festa que envolve as familias inclusive com criancas ja que possui ate um parque de diversoes,1
organizacao nota com sistema de recarga de cartao para consumir em toda a vila o que evita filas e tumultos,1
festa realmente muito bonita,1
praca de alimentacao com variedade de comida e chopp tambem barato tambem,1
com certeza voltarei,1
a oktoberfest de blumenau sc e um evento excepcional,1
